year,prize,country,gender,firstName,lastName,medalCount,affiliation,,,,,,,,,,,,,,,,,,,
1984,Physiology or Medicine,Argentina,Male,César,Milstein,1,MRC Laboratory of Molecular Biology,,,,,,,,,,,,,,,,,,,
1980,Peace,Argentina,Male,Mother Teresa,,1,,,,,,,,,,,,,,,,,,,,
1970,Chemistry,Argentina,Male,Luis,Leloir,1,Institute for Biochemical Research,,,,,,,,,,,,,,,,,,,
1947,Physiology or Medicine,Argentina,Male,Bernardo,Houssay,1,Instituto de Biologia y Medicina Experimenta,,,,,,,,,,,,,,,,,,,
1936,Peace,Argentina,Male,Carl,von Ossietzky,1,,,,,,,,,,,,,,,,,,,,
2009,Physiology or Medicine,Australia,Female,Elizabeth H.,Blackburn,1,University of California,,,,,,,,,,,,,,,,,,,
2005,Physiology or Medicine,Australia,Male,Barry J.,Marshall,1,University of Western Australia,,,,,,,,,,,,,,,,,,,
2005,Physiology or Medicine,Australia,Male,J. Robin,Warren,1,,,,,,,,,,,,,,,,,,,,
1996,Physiology or Medicine,Australia,Male,Peter C.,Doherty,1,St. Jude Children's Research Hospital,,,,,,,,,,,,,,,,,,,
1975,Chemistry,Australia,Male,John,Cornforth,1,University of Sussex,,,,,,,,,,,,,,,,,,,
1973,Literature,Australia,Male,Patrick,White,1,,,,,,,,,,,,,,,,,,,,
1963,Physiology or Medicine,Australia,Male,Sir John,Eccles,1,Australian National University,,,,,,,,,,,,,,,,,,,
1960,Physiology or Medicine,Australia,Male,Sir Frank Macfarlane,Burnet,1,Walter and Eliza Hall Institute for Medical Research,,,,,,,,,,,,,,,,,,,
1945,Physiology or Medicine,Australia,Male,Sir Howard,Florey,1,University of Oxford,,,,,,,,,,,,,,,,,,,
2013,Chemistry,Austria,Male,Martin,Karplus,1,Université de Strasbourg,,,,,,,,,,,,,,,,,,,
2005,Peace,Austria,Institution,Wangari,Maathai,1,,,,,,,,,,,,,,,,,,,,
2004,Literature,Austria,Female,Elfriede,Jelinek,1,,,,,,,,,,,,,,,,,,,,
1973,Physiology or Medicine,Austria,Male,Konrad,Lorenz,1,Institut für vergleichende Verhaltensforschung,,,,,,,,,,,,,,,,,,,
1945,Physics,Austria,Male,Wolfgang,Pauli,1,Princeton University,,,,,,,,,,,,,,,,,,,
1936,Physiology or Medicine,Austria,Male,Otto,Loewi,1,Graz University,,,,,,,,,,,,,,,,,,,
1936,Physics,Austria,Male,Victor F.,Hess,1,Innsbruck University,,,,,,,,,,,,,,,,,,,
1933,Physics,Austria,Male,Erwin,Schrödinger,1,Berlin University,,,,,,,,,,,,,,,,,,,
1930,Physiology or Medicine,Austria,Male,Karl,Landsteiner,1,Rockefeller Institute for Medical Research,,,,,,,,,,,,,,,,,,,
1927,Physiology or Medicine,Austria,Male,Julius,Wagner-Jauregg,1,Vienna University,,,,,,,,,,,,,,,,,,,
1923,Chemistry,Austria,Male,Fritz,Pregl,1,Graz University,,,,,,,,,,,,,,,,,,,
1914,Physiology or Medicine,Austria,Male,Robert,Bárány,1,Vienna University,,,,,,,,,,,,,,,,,,,
1911,Peace,Austria,Male,Permanent International Peace Bureau,,1,,,,,,,,,,,,,,,,,,,,
1905,Peace,Austria,Female,Institute of International Law,,1,,,,,,,,,,,,,,,,,,,,
2006,Peace,Bangladesh,Institution,Mohamed,ElBaradei,1,,,,,,,,,,,,,,,,,,,,
2006,Peace,Bangladesh,Male,Grameen Bank,,1,,,,,,,,,,,,,,,,,,,,
2013,Physics,Belgium,Male,François,Englert,1,Université Libre de Bruxelles,,,,,,,,,,,,,,,,,,,
2012,Peace,Belgium,Institution,Ellen Johnson,Sirleaf,1,,,,,,,,,,,,,,,,,,,,
1999,Peace,Belgium,Institution,John,Hume,1,,,,,,,,,,,,,,,,,,,,
1977,Chemistry,Belgium,Male,Ilya,Prigogine,1,University of Texas,,,,,,,,,,,,,,,,,,,
1974,Physiology or Medicine,Belgium,Male,Christian,de Duve,1,Rockefeller University,,,,,,,,,,,,,,,,,,,
1974,Physiology or Medicine,Belgium,Male,Albert,Claude,1,Université Catholique de Louvain,,,,,,,,,,,,,,,,,,,
1958,Peace,Belgium,Male,Lester Bowles,Pearson,1,,,,,,,,,,,,,,,,,,,,
1938,Physiology or Medicine,Belgium,Male,Corneille,Heymans,1,Ghent University,,,,,,,,,,,,,,,,,,,
1919,Physiology or Medicine,Belgium,Male,Jules,Bordet,1,Brussels University,,,,,,,,,,,,,,,,,,,
1913,Peace,Belgium,Male,Elihu,Root,1,,,,,,,,,,,,,,,,,,,,
1911,Literature,Belgium,Male,Maurice,Maeterlinck,1,,,,,,,,,,,,,,,,,,,,
1909,Peace,Belgium,Male,Paul Henri,d'Estournelles de Constant,1,,,,,,,,,,,,,,,,,,,,
1904,Peace,Belgium,Institution,Randal,Cremer,1,,,,,,,,,,,,,,,,,,,,
2015,Physics,Canada,Male,Arthur B.,McDonald,1,Queen's University,,,,,,,,,,,,,,,,,,,
2013,Literature,Canada,Female,Alice,Munro,1,,,,,,,,,,,,,,,,,,,,
2011,Physiology or Medicine,Canada,Male,Ralph M.,Steinman,1,Rockefeller University,,,,,,,,,,,,,,,,,,,
2009,Physics,Canada,Male,Willard S.,Boyle,1,Bell Laboratories,,,,,,,,,,,,,,,,,,,
2009,Physiology or Medicine,Canada,Male,Jack W.,Szostak,1,Harvard University,,,,,,,,,,,,,,,,,,,
1999,Economics,Canada,Male,Robert A.,Mundell,1,Columbia University,,,,,,,,,,,,,,,,,,,
1995,Peace,Canada,Institution,Yasser,Arafat,1,,,,,,,,,,,,,,,,,,,,
1994,Physics,Canada,Male,Bertram N.,Brockhouse,1,McMaster University,,,,,,,,,,,,,,,,,,,
